snapshot_year,preseason_for,rank,source_rank_raw,association,association_code,window_s1,window_s2,window_s3,window_s4,window_s5,coefficient_5y,participating_teams_last_year,source,source_ref
2021,2021/22,39,39,Armenia,ARM,1.125,0.625,1.5,2.75,1.375,7.375,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,39,40,Latvia,LVA,1.375,0.75,1.625,2.25,1.375,7.375,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,41,41,Albania,ALB,0.875,2.625,1,0.75,2,7.25,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,42,42,Northern Ireland,NIR,0.5,0.75,0.5,2.375,2.833,6.958,3,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,43,44,Finland,FIN,1.75,1.25,0.875,1.625,1.375,6.875,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,43,43,Georgia,GEO,1.125,0.125,1.625,2.25,1.75,6.875,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,43,45,Moldova,MDA,0.875,2.75,1.125,0.75,1.375,6.875,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,46,46,Malta,MLT,1.25,1.375,1.5,0.75,1.5,6.375,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,47,47,Faroe Islands,FRO,0.375,0.75,1.125,1.125,2.75,6.125,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,48,48,Kosovo,KOS,0,0,2.5,1.5,1.833,5.833,3,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,49,49,Gibraltar,GIB,1.5,0.5,1,1,1.666,5.666,3,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,50,50,Montenegro,MNE,0.875,1.125,0.375,1,1.625,5,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,50,51,Wales,WAL,1,0.5,1,1,1.5,5,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,52,52,Iceland,ISL,1,1.125,1.5,0.625,0.625,4.875,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,53,53,Estonia,EST,1.375,0.625,0.5,0.875,1.375,4.75,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,54,54,Andorra,AND,0.166,0.166,0.833,1.5,0.666,3.331,3,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2021,2021/22,55,55,San Marino,SMR,0,0.166,0.5,0,0.5,1.166,3,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2021.html
2022,2022/23,1,1,England,ENG,20.071,22.642,18.571,24.357,21,106.641,7,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,2,2,Spain,ESP,19.714,19.571,18.928,19.5,18.428,96.141,7,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,3,3,Italy,ITA,17.333,12.642,14.928,16.285,15.714,76.902,7,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,4,4,Germany,GER,9.857,15.214,18.714,15.214,16.214,75.213,7,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,5,5,France,FRA,11.5,10.583,11.666,7.916,18.416,60.081,6,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,6,6,Portugal,POR,9.666,10.9,10.3,9.6,12.916,53.382,6,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,7,7,Netherlands,NED,2.9,8.6,9.4,9.2,19.2,49.3,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,8,8,Austria,AUT,9.75,6.2,5.8,6.7,10.4,38.85,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,9,9,Scotland,SCO,4,6.75,9.75,8.5,7.9,36.9,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,10,10,Russia,RUS,12.6,7.583,4.666,4.333,5.3,34.482,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,11,11,Serbia,SRB,6.375,6,6,5.5,9.5,33.375,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,12,12,Ukraine,UKR,8,5.6,7.2,6.8,4.2,31.8,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,13,13,Belgium,BEL,2.6,7.8,7.6,6,6.6,30.6,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,14,14,Switzerland,SUI,6.5,3.9,6.4,5.125,7.75,29.675,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,15,15,Greece,GRE,5.1,5.1,4.9,5.1,8,28.2,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,16,16,Czechia,CZE,5.5,6.5,2.5,6.6,6.7,27.8,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,17,17,Norway,NOR,4,5.375,3.75,6.5,7.625,27.25,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,18,18,Denmark,DEN,5.25,4.875,5.125,4.125,7.8,27.175,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,19,19,Croatia,CRO,5.125,5.75,4.375,5.9,6,27.15,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,20,20,Türkiye,TUR,6.8,5.5,5,3.1,6.7,27.1,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,21,21,Cyprus,CYP,7,6.125,5.125,4,4.125,26.375,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,22,22,Israel,ISR,5.625,2.625,2.375,7,6.75,24.375,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,23,23,Sweden,SWE,5.375,4.125,5.75,2.5,5.125,22.875,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,24,24,Bulgaria,BUL,4,4,4.125,4,3.375,19.5,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,25,25,Romania,ROU,2.9,2.375,5.875,3.75,2.25,17.15,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,26,26,Azerbaijan,AZE,4.375,2.375,3.375,2.5,4.375,17,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,27,27,Hungary,HUN,1.625,3.25,4.5,4.25,2.75,16.375,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,28,28,Poland,POL,2.875,2.25,2.125,4,4.625,15.875,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,29,29,Kazakhstan,KAZ,4.25,4.25,3.375,1,2.875,15.75,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,30,30,Slovakia,SVK,1.875,5.125,3,1.5,4.125,15.625,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,31,31,Slovenia,SVN,4.625,3.125,2,2.25,3,15,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,32,32,Belarus,BLR,3.25,5,2.5,1.5,0.25,12.5,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,33,33,Moldova,MDA,2.75,1.125,0.75,1.375,5.25,11.25,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,34,34,Lithuania,LTU,2.375,2.625,1.625,1.625,1.75,10,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,35,35,Bosnia-Herzegovina,BIH,1.375,2,1.5,2.625,1.625,9.125,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,36,36,Finland,FIN,1.25,0.875,1.625,1.375,3.75,8.875,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,37,37,Luxembourg,LUX,0.875,2.625,3,1,1.25,8.75,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,38,38,Latvia,LVA,0.75,1.625,2.25,1.375,2.625,8.625,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,39,39,Kosovo,KOS,0,2.5,1.5,1.833,2.333,8.166,3,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,40,41,Armenia,ARM,0.625,1.5,2.75,1.375,1.875,8.125,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,40,40,Ireland,IRL,1.125,1,1.25,1.875,2.875,8.125,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,42,42,Northern Ireland,NIR,0.75,0.5,2.375,2.833,1.625,8.083,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,43,43,Albania,ALB,2.625,1,0.75,2,1.625,8,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,44,44,Faroe Islands,FRO,0.75,1.125,1.125,2.75,1.5,7.25,3,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,45,45,Estonia,EST,0.625,0.5,0.875,1.375,3.666,7.041,3,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,46,47,Georgia,GEO,0.125,1.625,2.25,1.75,1.25,7,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,46,46,Malta,MLT,1.375,1.5,0.75,1.5,1.875,7,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,46,48,North Macedonia,MKD,3.125,1,0.5,1.75,0.625,7,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,49,49,Liechtenstein,LIE,2,1.5,2.5,0.5,0,6.5,1,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,50,50,Wales,WAL,0.5,1,1,1.5,1.5,5.5,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,51,51,Gibraltar,GIB,0.5,1,1,1.666,1.25,5.416,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,52,52,Iceland,ISL,1.125,1.5,0.625,0.625,1.5,5.375,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,53,53,Montenegro,MNE,1.125,0.375,1,1.625,0.75,4.875,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,54,54,Andorra,AND,0.166,0.833,1.5,0.666,1.5,4.665,3,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2022,2022/23,55,55,San Marino,SMR,0.166,0.5,0,0.5,0.166,1.332,3,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2022.html
2023,2023/24,1,1,England,ENG,22.642,18.571,24.357,21,23,109.57,7,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,2,2,Spain,ESP,19.571,18.928,19.5,18.428,16.571,92.998,7,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,3,3,Germany,GER,15.214,18.714,15.214,16.214,17.125,82.481,8,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,4,4,Italy,ITA,12.642,14.928,16.285,15.714,22.357,81.926,7,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,5,5,France,FRA,10.583,11.666,7.916,18.416,12.583,61.164,6,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,6,6,Netherlands,NED,8.6,9.4,9.2,19.2,13.5,59.9,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,7,7,Portugal,POR,10.9,10.3,9.6,12.916,12.5,56.216,6,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,8,8,Belgium,BEL,7.8,7.6,6,6.6,14.2,42.2,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,9,9,Scotland,SCO,6.75,9.75,8.5,7.9,3.5,36.4,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,10,10,Austria,AUT,6.2,5.8,6.7,10.4,4.9,34,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,11,11,Serbia,SRB,6,6,5.5,9.5,5.375,32.375,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,12,12,Türkiye,TUR,5.5,5,3.1,6.7,11.8,32.1,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,13,13,Switzerland,SUI,3.9,6.4,5.125,7.75,8.5,31.675,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,14,14,Ukraine,UKR,5.6,7.2,6.8,4.2,5.7,29.5,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,15,15,Czechia,CZE,6.5,2.5,6.6,6.7,6.75,29.05,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,16,16,Norway,NOR,5.375,3.75,6.5,7.625,5.75,29,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,17,17,Denmark,DEN,4.875,5.125,4.125,7.8,5.9,27.825,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,18,18,Russia,RUS,7.583,4.666,4.333,5.3,4.333,26.215,0,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,19,19,Croatia,CRO,5.75,4.375,5.9,6,3.375,25.4,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,20,20,Greece,GRE,5.1,4.9,5.1,8,2.125,25.225,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,21,21,Israel,ISR,2.625,2.375,7,6.75,6.25,25,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,22,22,Cyprus,CYP,6.125,5.125,4,4.125,5.1,24.475,5,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,23,23,Sweden,SWE,4.125,5.75,2.5,5.125,6.25,23.75,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,24,24,Poland,POL,2.25,2.125,4,4.625,7.75,20.75,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,25,25,Hungary,HUN,3.25,4.5,4.25,2.75,5.875,20.625,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,26,26,Romania,ROU,2.375,5.875,3.75,2.25,6.25,20.5,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,27,27,Bulgaria,BUL,4,4.125,4,3.375,4.5,20,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,28,28,Slovakia,SVK,5.125,3,1.5,4.125,6,19.75,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,29,29,Azerbaijan,AZE,2.375,3.375,2.5,4.375,4,16.625,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,30,30,Kazakhstan,KAZ,4.25,3.375,1,2.875,1.125,12.625,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,31,31,Slovenia,SVN,3.125,2,2.25,3,2.125,12.5,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,32,32,Moldova,MDA,1.125,0.75,1.375,5.25,3.75,12.25,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,33,33,Kosovo,KOS,2.5,1.5,1.833,2.333,2.875,11.041,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,34,34,Liechtenstein,LIE,1.5,2.5,0.5,0,6.5,11,1,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,35,35,Latvia,LVA,1.625,2.25,1.375,2.625,2.75,10.625,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,36,36,Ireland,IRL,1,1.25,1.875,2.875,3.375,10.375,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,37,37,Finland,FIN,0.875,1.625,1.375,3.75,2.625,10.25,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,38,38,Lithuania,LTU,2.625,1.625,1.625,1.75,2.375,10,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,39,39,Armenia,ARM,1.5,2.75,1.375,1.875,2.375,9.875,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
2023,2023/24,39,40,Belarus,BLR,5,2.5,1.5,0.25,0.625,9.875,4,Kassiesa / public UEFA association coefficient tables,https://kassiesa.net/uefa/data/method5/crank2023.html
